team_id,event_id,tie_breaker,combined_score,season
88134,46852,14572213,22,155
88356,46852,14572215,21,155
89128,46852,14572217,18,155
136026,46852,14572219,16,155
98738,46852,14572221,14,155
100965,46852,14572223,12,155
114076,46852,14572225,12,155
113213,46852,14572227,10,155
102470,46852,14572229,10,155
100782,46852,14572231,8,155
89131,46852,14572233,8,155
100783,46852,14572235,8,155
100840,46852,14572237,6,155
102206,46852,14572239,2,155
113214,46852,14572241,0,155
113105,46582,15837773,37,155
92082,47545,15483401,202,154
76596,45047,15840925,320,154
105677,47424,15138745,17,155
121049,45732,15099789,100,154
127283,47452,15061353,290,154
103513,45722,14573023,120,154
126432,47545,15483405,170,154
111753,45722,14573029,120,154
120851,47452,15061407,100,154
112709,47214,14580221,160,154
54599,45722,14573045,80,154
116547,46741,16365851,40,155
131366,46087,15047423,260,154
107157,45459,20976391,199,155
126260,46830,15837523,148,155
129179,46829,15826129,67,155
114103,47310,15119523,120,154
132055,47642,22424869,120,155
113328,45433,17402793,476,156
27472,46818,14574881,482,156
87822,47924,29094199,224,173
133023,47642,22424875,96,155
143056,48512,25273627,52,173
81621,47642,22424879,93,155
143450,48995,26312471,222,173
129081,47642,22424881,85,155
123234,47642,22424883,83,155
143053,48233,24670335,42,173
128684,47642,22424891,72,155
132464,45947,11886901,109,155
64480,47115,14552029,63,155
57888,47115,14552031,54,155
57897,47115,14552033,48,155
64481,47115,14552035,44,155
65267,47115,14552037,42,155
91692,47544,15483325,34,155
129181,46829,15826135,39,155
89111,46567,14557091,31,155
63888,47115,14552007,72,155
115343,47213,15099699,100,154
26683,46087,15047433,240,154
75951,48078,25709307,60,173
129828,46087,15047451,220,154
92083,47545,15483409,160,154
26671,46087,15047455,220,154
88108,46852,14572201,40,155
59851,46087,15047511,162,154
92140,47545,15483419,100,154
4091,46087,15047579,120,154
126259,46830,15837539,107,155
123235,47642,22424897,65,155
136518,46830,15837547,53,155
57883,47115,14552001,76,155
102006,46830,15837549,53,155
57887,47115,14552017,71,155
136519,46830,15837555,49,155
132723,47642,22424903,59,155
124699,46830,15837559,43,155
57879,47514,16140251,68,155
81620,47642,22424911,0,155
134472,46978,12301943,25,155
134477,46978,12301925,29,155
134473,46978,12301977,13,155
134479,48371,22425183,10,155
131647,47581,15841269,339,154
126430,47425,15138751,250,154
103727,47545,15483385,322,154
110027,45459,20976423,175,155
129178,46829,15826125,76,155
64477,47115,14552039,42,155
64463,47115,14552041,36,155
57886,47115,14552043,32,155
64470,47115,14552045,25,155
57896,47115,14552047,24,155
81719,50820,26324623,853,173
122379,46990,14592475,26,155
94592,46990,14592479,19,155
81799,46990,14592481,18,155
122635,45775,14513257,15,155
135508,45775,14513253,16,155
125783,45775,14513267,12,155
128538,47740,22439093,83,173
83756,47440,15453111,41,155
83403,46161,13759683,330,154
128201,47496,14588163,120,154
109693,49224,26328965,1255,173
135580,48666,24786611,978,173
137898,47496,14588161,120,154
119228,45434,17403989,212,154
135219,45515,16304613,250,154
39139,45569,15062141,300,154
104142,45837,16400215,220,154
28045,48473,29603943,1020,173
50694,46161,13759697,220,154
85979,47969,23864895,1116,173
128381,48282,26922793,711,173
136254,51094,28501805,152,173
139219,47778,22557291,2134,173
129115,48502,25294197,168,173
51712,48415,24661869,15,173
84097,49793,28694691,5123,173
87333,48388,23212189,1412,173
91480,48616,26349701,232,173
75494,49259,28502157,402,173
139632,48408,27643225,633,173
86955,49795,25267361,98,174
149548,48436,29301615,748,173
145574,48271,24680175,42,173
139105,48541,24815875,99,173
116089,51027,28507123,996,173
60063,48374,28126511,593,173
111160,48864,29079813,148,173
108151,49224,26329047,480,173
135223,51095,28501731,654,173
107443,48631,27973027,318,173
71922,48631,27972973,576,173
77230,50412,25250749,162,174
14143,49946,28499607,112,173
113512,48294,24115463,564,173
122010,49923,27642927,718,173
62510,48473,29603909,1704,173
64146,49497,28699081,1200,173
83113,49272,27898269,38,173
64629,47973,24329267,1059,173
145573,48271,24680185,13,173
40279,49123,28500981,304,173
129438,49194,24735611,734,173
129470,49960,29094041,225,173
102175,49972,22960831,220,174
124685,48293,23962937,278,174
108761,48282,26922787,502,173
77224,48105,24314293,176,174
134556,48021,25275999,74,173
65072,47913,27038393,314,173
3456,48632,28496313,260,173
99531,48473,29603985,792,173
136315,45434,17404083,180,154
109097,48666,24786625,249,173
72006,50713,26258101,123,173
104141,48529,29076981,124,173
111400,48286,23553131,480,173
130873,46901,14656563,200,154
74091,47800,26314639,1210,173
129318,51326,28504009,468,173
19591,46087,15047413,270,154
139496,48408,27643209,604,173
147050,47925,29094241,240,173
114890,47968,23530049,673,174
62752,48666,24786627,375,173
57378,48659,29090725,768,173
133611,46260,15518185,221,154
135876,45434,17404105,180,154
48708,45611,13463973,240,154
114555,44657,16482935,230,154
107675,47098,12518727,260,154
74571,44782,15905573,260,154
35815,46398,13172671,250,154
133267,46945,15959945,320,154
