id,event_id,title
77173,35529,Judges Award (VRC/VEXU/VAIC/ADC)
77174,35529,Tournament Finalists (VRC/VEXU/VAIC)
77176,35529,Sportsmanship Award (VRC/VEXU/VAIC)
77177,35529,Teamwork Award (VRC/VEXU)
85701,36773,Excellence Award (VRC/VEXU/VAIC)
85702,36773,Innovate Award (VRC/VEXU/VAIC)
85703,36773,Design Award (VRC/VEXU/VAIC)
85704,36773,Think Award (VRC/VEXU/VAIC)
85705,36773,Judges Award (VRC/VEXU/VAIC/ADC)
78836,35817,Tournament Champions (VRC/VEXU/VAIC)
78838,35817,Create Award (VRC/VEXU/VAIC)
78839,35817,Amaze Award (VRC/VEXU/VAIC)
78840,35817,Build Award (VRC/VEXU/VAIC)
78841,35817,Design Award (VRC/VEXU/VAIC)
78842,35817,Future Award (VRC/VEXU)
78843,35817,Think Award (VRC/VEXU/VAIC)
78844,35817,Judges Award (VRC/VEXU/VAIC/ADC)
78845,35817,Tournament Finalists (VRC/VEXU/VAIC)
78846,35817,Robot Skills Champion (VRC/VEXU)
78847,35817,Robot Skills 2nd Place (VRC/VEXU)
78849,35817,Tournament Semifinalists (VRC/VEXU/VAIC)
96477,35817,Excellence Award (VRC/VEXU/VAIC)
78808,35816,Tournament Champions (VRC/VEXU/VAIC)
78810,35816,Create Award (VRC/VEXU/VAIC)
78811,35816,Amaze Award (VRC/VEXU/VAIC)
78812,35816,Build Award (VRC/VEXU/VAIC)
78813,35816,Design Award (VRC/VEXU/VAIC)
78814,35816,Future Award (VRC/VEXU)
78815,35816,Think Award (VRC/VEXU/VAIC)
78816,35816,Judges Award (VRC/VEXU/VAIC/ADC)
78818,35816,Robot Skills Champion (VRC/VEXU)
78819,35816,Robot Skills 2nd Place (VRC/VEXU)
78821,35816,Tournament Semifinalists (VRC/VEXU/VAIC)
79095,35816,Tournament Finalists (VRC/VEXU/VAIC)
96476,35816,Excellence Award (VRC/VEXU/VAIC)
75321,35125,Excellence Award (VRC/VEXU/VAIC)
75322,35125,Tournament Champions (VRC/VEXU/VAIC)
75325,35125,Robot Skills Champion (VRC/VEXU)
75332,35125,Design Award (VRC/VEXU/VAIC)
91126,35125,Create Award (VRC/VEXU/VAIC)
91127,35125,Judges Award (VRC/VEXU/VAIC/ADC)
95232,35125,Build Award (VRC/VEXU/VAIC)
75558,35160,Tournament Champions (VRC/VEXU/VAIC)
75560,35160,Design Award (VRC/VEXU/VAIC)
75561,35160,Judges Award (VRC/VEXU/VAIC/ADC)
87551,35160,Robot Skills Champion (VRC/VEXU)
75035,35078,Excellence Award (VRC/VEXU/VAIC)
75036,35078,Tournament Champions (VRC/VEXU/VAIC)
92222,35078,Design Award (VRC/VEXU/VAIC)
93524,35078,Robot Skills Champion (VRC/VEXU)
96929,35078,Judges Award (VRC/VEXU/VAIC/ADC)
96930,35078,Volunteer of the Year Award (VRC/VEXU/VAIC)
75874,35208,Excellence Award (VRC/VEXU/VAIC)
75875,35208,Tournament Champions (VRC/VEXU/VAIC)
75876,35208,Design Award (VRC/VEXU/VAIC)
75877,35208,Judges Award (VRC/VEXU/VAIC/ADC)
75878,35208,Robot Skills Champion (VRC/VEXU)
76763,35208,Innovate Award (VRC/VEXU/VAIC)
76764,35208,Create Award (VRC/VEXU/VAIC)
76765,35208,Amaze Award (VRC/VEXU/VAIC)
76766,35208,Build Award (VRC/VEXU/VAIC)
76767,35208,Think Award (VRC/VEXU/VAIC)
76768,35208,Tournament Finalists (VRC/VEXU/VAIC)
78057,35664,Excellence Award (VRC/VEXU/VAIC)
78058,35664,Tournament Champions (VRC/VEXU/VAIC)
78059,35664,Design Award (VRC/VEXU/VAIC)
78060,35664,Judges Award (VRC/VEXU/VAIC/ADC)
78061,35664,Robot Skills Champion (VRC/VEXU)
83815,36531,Tournament Champions (VRC/VEXU/VAIC)
83816,36531,Design Award (VRC/VEXU/VAIC)
83817,36531,Judges Award (VRC/VEXU/VAIC/ADC)
83818,36531,Robot Skills Champion (VRC/VEXU)
84006,36531,Excellence Award (VRC/VEXU/VAIC)
82066,36297,Tournament Champions (VRC/VEXU/VAIC)
88622,36297,Design Award (VRC/VEXU/VAIC)
88623,36297,Judges Award (VRC/VEXU/VAIC/ADC)
88624,36297,Robot Skills Champion (VRC/VEXU)
88625,36297,Sportsmanship Award (VRC/VEXU/VAIC)
88627,36297,Excellence Award (VRC/VEXU/VAIC)
90760,36297,Tournament Finalists (VRC/VEXU/VAIC)
90761,36297,Tournament Semifinalists (VRC/VEXU/VAIC)
90762,36297,Tournament Quarterfinalists (VRC/VEXU/VAIC)
85706,36774,Excellence Award (VRC/VEXU/VAIC)
85707,36774,Innovate Award (VRC/VEXU/VAIC)
85708,36774,Design Award (VRC/VEXU/VAIC)
85709,36774,Think Award (VRC/VEXU/VAIC)
85710,36774,Judges Award (VRC/VEXU/VAIC/ADC)
75919,35216,Excellence Award (VRC/VEXU/VAIC)
75920,35216,Tournament Champions (VRC/VEXU/VAIC)
75921,35216,Design Award (VRC/VEXU/VAIC)
75922,35216,Robot Skills Champion (VRC/VEXU)
91275,35216,Judges Award (VRC/VEXU/VAIC/ADC)
79655,35837,Excellence Award (VRC/VEXU/VAIC)
79656,35837,Tournament Champions (VRC/VEXU/VAIC)
79660,35837,Design Award (VRC/VEXU/VAIC)
79661,35837,Judges Award (VRC/VEXU/VAIC/ADC)
79662,35837,Volunteer of the Year Award (VRC/VEXU/VAIC)
79663,35837,Robot Skills Champion (VRC/VEXU)
75552,35159,Excellence Award (VRC/VEXU/VAIC)
75553,35159,Tournament Champions (VRC/VEXU/VAIC)
75554,35159,Design Award (VRC/VEXU/VAIC)
93515,35159,Robot Skills Champion (VRC/VEXU)
83477,36489,Excellence Award (VRC/VEXU/VAIC)
83478,36489,Tournament Champions (VRC/VEXU/VAIC)
80137,36057,Tournament Champions (VRC/VEXU/VAIC)
93568,36057,Excellence Award - Middle School (VRC)
93569,36057,Excellence Award - High School (VRC)
93570,36057,Design Award (VRC/VEXU/VAIC)
93571,36057,Robot Skills Champion (VRC/VEXU)
84169,36581,Excellence Award (VRC/VEXU/VAIC)
84170,36581,Tournament Champions (VRC/VEXU/VAIC)
84171,36581,Build Award (VRC/VEXU/VAIC)
84172,36581,Design Award (VRC/VEXU/VAIC)
89530,36581,Tournament Finalists (VRC/VEXU/VAIC)
92144,36581,Judges Award (VRC/VEXU/VAIC/ADC)
92145,36581,Robot Skills Champion (VRC/VEXU)
79394,35915,Excellence Award (VRC/VEXU/VAIC)
79395,35915,Tournament Champions (VRC/VEXU/VAIC)
79396,35915,Build Award (VRC/VEXU/VAIC)
79397,35915,Design Award (VRC/VEXU/VAIC)
79398,35915,Judges Award (VRC/VEXU/VAIC/ADC)
79399,35915,Robot Skills Champion (VRC/VEXU)
76443,35364,Tournament Champions (VRC/VEXU/VAIC)
84835,36660,Tournament Champions (VRC/VEXU/VAIC)
84836,36660,Tournament Finalists (VRC/VEXU/VAIC)
84837,36660,Robot Skills Champion (VRC/VEXU)
95211,36660,Tournament Semifinalists (VRC/VEXU/VAIC)
86381,36895,Excellence Award (VRC/VEXU/VAIC)
86382,36895,Tournament Champions (VRC/VEXU/VAIC)
86383,36895,Design Award (VRC/VEXU/VAIC)
86384,36895,Judges Award (VRC/VEXU/VAIC/ADC)
86385,36895,Robot Skills Champion (VRC/VEXU)
99527,36895,Amaze Award (VRC/VEXU/VAIC)
99528,36895,Think Award (VRC/VEXU/VAIC)
75011,35075,Tournament Champions (VRC/VEXU/VAIC)
75016,35075,Design Award (VRC/VEXU/VAIC)
75018,35075,Robot Skills Champion (VRC/VEXU)
83046,35075,Excellence Award - High School (VRC)
83047,35075,Excellence Award - Middle School (VRC)
80427,36089,Tournament Champions (VRC/VEXU/VAIC)
80430,36089,Design Award (VRC/VEXU/VAIC)
80431,36089,Judges Award (VRC/VEXU/VAIC/ADC)
80433,36089,Robot Skills Champion (VRC/VEXU)
80435,36089,Excellence Award - Middle School (VRC)
80583,36089,Excellence Award - High School (VRC)
91459,36089,Cooperate (VRC/VEXU) 
91460,36089,Sportsmanship Award (VRC/VEXU/VAIC)
80754,35964,Excellence Award (VRC/VEXU/VAIC)
80755,35964,Tournament Champions (VRC/VEXU/VAIC)
80915,35964,Design Award (VRC/VEXU/VAIC)
93919,35964,Robot Skills Champion (VRC/VEXU)
79168,35871,Tournament Champions (VRC/VEXU/VAIC)
79171,35871,Judges Award (VRC/VEXU/VAIC/ADC)
94036,35871,Design Award (VRC/VEXU/VAIC)
79628,35952,Excellence Award (VRC/VEXU/VAIC)
79629,35952,Tournament Champions (VRC/VEXU/VAIC)
79630,35952,Design Award (VRC/VEXU/VAIC)
79631,35952,Judges Award (VRC/VEXU/VAIC/ADC)
79632,35952,Robot Skills Champion (VRC/VEXU)
84590,35952,Tournament Finalists (VRC/VEXU/VAIC)
101011,38072,Excellence Award - Middle School (VRC)
101012,38072,Excellence Award - High School (VRC)
84919,36663,Excellence Award (VRC/VEXU/VAIC)
84920,36663,Tournament Champions (VRC/VEXU/VAIC)
84922,36663,Design Award (VRC/VEXU/VAIC)
84923,36663,Judges Award (VRC/VEXU/VAIC/ADC)
84925,36663,Robot Skills Champion (VRC/VEXU)
85950,36663,Build Award (VRC/VEXU/VAIC)
85951,36663,Think Award (VRC/VEXU/VAIC)
85952,36663,Sportsmanship Award (VRC/VEXU/VAIC)
83181,36447,Excellence Award (VRC/VEXU/VAIC)
83182,36447,Tournament Champions (VRC/VEXU/VAIC)
83183,36447,Build Award (VRC/VEXU/VAIC)
83184,36447,Design Award (VRC/VEXU/VAIC)
83185,36447,Think Award (VRC/VEXU/VAIC)
76619,35393,Tournament Champions (VRC/VEXU/VAIC)
76620,35393,Tournament Finalists (VRC/VEXU/VAIC)
76621,35393,Robot Skills Champion (VRC/VEXU)
91034,37503,Tournament Champions (VRC/VEXU/VAIC)
91035,37503,Design Award (VRC/VEXU/VAIC)
91036,37503,Robot Skills Champion (VRC/VEXU)
92095,37503,Excellence Award - Middle School (VRC)
82553,36358,Tournament Finalists (VRC/VEXU/VAIC)
82554,36358,Robot Skills Champion (VRC/VEXU)
82555,36358,Sportsmanship Award (VRC/VEXU/VAIC)
79889,35257,Excellence Award (VRC/VEXU/VAIC)
79890,35257,Tournament Champions (VRC/VEXU/VAIC)
91272,35257,Design Award (VRC/VEXU/VAIC)
91276,35257,Judges Award (VRC/VEXU/VAIC/ADC)
91277,35257,Tournament Finalists (VRC/VEXU/VAIC)
91278,35257,Robot Skills Champion (VRC/VEXU)
96153,36651,Volunteer of the Year Award (VRC/VEXU/VAIC)
96758,36651,Excellence Award (VRC/VEXU/VAIC)
96759,36651,Tournament Champions (VRC/VEXU/VAIC)
96760,36651,Design Award (VRC/VEXU/VAIC)
96761,36651,Tournament Finalists (VRC/VEXU/VAIC)
96762,36651,Robot Skills Champion (VRC/VEXU)
96763,36651,Robot Skills 2nd Place (VRC/VEXU)
96764,36651,Tournament Semifinalists (VRC/VEXU/VAIC)
96765,36651,Create Award (VRC/VEXU/VAIC)
96766,36651,Amaze Award (VRC/VEXU/VAIC)
96767,36651,Build Award (VRC/VEXU/VAIC)
79307,35900,Tournament Champions (VRC/VEXU/VAIC)
79308,35900,Amaze Award (VRC/VEXU/VAIC)
79309,35900,Build Award (VRC/VEXU/VAIC)
95277,35900,Robot Skills Champion (VRC/VEXU)
97511,35900,Excellence Award (VRC/VEXU/VAIC)
97512,35900,Design Award (VRC/VEXU/VAIC)
76687,35427,Excellence Award (VRC/VEXU/VAIC)
76688,35427,Tournament Champions (VRC/VEXU/VAIC)
76692,35427,Design Award (VRC/VEXU/VAIC)
99398,35427,Innovate Award (VRC/VEXU/VAIC)
99399,35427,Amaze Award (VRC/VEXU/VAIC)
99400,35427,Build Award (VRC/VEXU/VAIC)
99401,35427,Think Award (VRC/VEXU/VAIC)
99402,35427,Judges Award (VRC/VEXU/VAIC/ADC)
99403,35427,Volunteer of the Year Award (VRC/VEXU/VAIC)
99404,35427,Energy Award (VRC/VEXU/VAIC)
99405,35427,Sportsmanship Award (VRC/VEXU/VAIC)
99406,35427,Teamwork Award (VRC/VEXU)
82204,35346,Excellence Award (VRC/VEXU/VAIC)
82205,35346,Tournament Champions (VRC/VEXU/VAIC)
82206,35346,Design Award (VRC/VEXU/VAIC)
82207,35346,Robot Skills Champion (VRC/VEXU)
91944,36736,Robot Skills Champion (VRC/VEXU)
91945,36736,Robot Skills 2nd Place (VRC/VEXU)
91946,36736,Robot Skills 3rd Place (VRC/VEXU)
77897,35640,Excellence Award (VRC/VEXU/VAIC)
77898,35640,Tournament Champions (VRC/VEXU/VAIC)
77899,35640,Create Award (VRC/VEXU/VAIC)
77900,35640,Amaze Award (VRC/VEXU/VAIC)
77901,35640,Build Award (VRC/VEXU/VAIC)
77902,35640,Design Award (VRC/VEXU/VAIC)
77903,35640,Judges Award (VRC/VEXU/VAIC/ADC)
77904,35640,Tournament Finalists (VRC/VEXU/VAIC)
77905,35640,Robot Skills Champion (VRC/VEXU)
76156,35276,Excellence Award (VRC/VEXU/VAIC)
76157,35276,Tournament Champions (VRC/VEXU/VAIC)
76158,35276,Design Award (VRC/VEXU/VAIC)
76159,35276,Judges Award (VRC/VEXU/VAIC/ADC)
76160,35276,Robot Skills Champion (VRC/VEXU)
79117,35858,Build Award (VRC/VEXU/VAIC)
